Cow,Bovine rhinitis virus,Parapoxvirus,Mamastrovirus,Kobuvirus,Mastadenovirus,Calicivirus,Enterovirus,Bopivirus,Parechovirus,Hunnivirus
P18,553.3538733,141.8972328,235.0749045,1.63204485,58.93495292,0.090669158,0.604461056,60.08342892,0,19.94721483
W64,43.13914666,0.230280142,55.38237423,2.302801423,0.345420213,9.441485835,1.727101067,0,0.076760047,0
Y14,0.93392398,19.36096252,233.0499533,5.531703576,1.867847961,0,185.599431,0,0,0.215520919
Y17,8625.258964,207.1018891,5.021348782,0.536632694,0,3.488112513,4.753032435,1.188258109,0,1.648228989
Y18,13.86180518,234.8196446,895.8648673,28.12251123,0,0,285.347088,7.712083459,0,0
Y25,49.56594704,14.43703666,96.58632086,208.3733504,16.29166858,0.072730663,40.18369147,0.65457597,0.87276796,8.327660948
Y41,0.293658063,1092.016449,537.6552839,16.99953896,0,1.272518271,11.2568924,0,0.71783082,0
Y70,1014.07149,23.9003706,114.735333,8.200221673,0,2.936718505,0.858425409,13.1248727,0,2.59786637
W3,54.88184063,0.065103014,123.9235868,6.770713435,0,1.432266304,15.68982633,0,0.292963562,1.041648221
Y7,51.36588797,0,73.32185301,39.63143942,0,0,15.68283217,0,0,0.147603126
Y52,0,0,17.6304741,4.001777846,0,0.075505242,74.67468472,0.075505242,0.528536697,0