Family,R1_HAW_SMELT,R2_HUR_SMELT,R3_KAI_SMELT,R4_KOO_SMELT,R5_RAN SMELT,R6_RTP_SMELT,R7_MAK_SMELT,R8_NAI_SMELT,R9_TAI_SMELT,R10_WKB_SMELT,R11_PAT_SHORTFIN,R12_PAT_SMELT,R13_ROT_MUDFISH,R14_ROT_SMELT,R15_TEN_SMELT,R16_MAR_GIANTKOKOPU,R17_MAR_SMELT,R18_TW_INANGA,R19_TW_LONGFIN,R20_TW_SHORTFIN,R21_TW_SMELT,R22_WAI_INANGA,R23_WAI_LONGFIN,R24_WAI_SHORTFIN,R25_WAI_SMELT,R26_WAI_TRIPLEFIN
Adenoviridae,1.34E-06,0,0,6.12E-08,0,0,0,6.01E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adintoviridae,5.11E-07,4.12E-07,5.52E-07,9.19E-07,0,3.65E-07,5.29E-07,8.45E-07,0,4.65E-07,0,1.17E-06,0,1.53E-07,9.98E-07,0,5.93E-07,0,0,2.24E-06,7.37E-07,0,0,7.81E-07,0,0
Adomaviridae,0,0,9.46E-08,0,0,0,0,1.88E-08,0,0,0,0,0,0,2.41E-06,0,7.85E-07,0,0,0,0,0,0,0,0,0
Arenaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39E-07,0,0,0,0,0,0,0
Astroviridae,0,1.28E-07,7.06E-06,0,0,9.17E-06,0,0,0,3.57E-07,0,0,0,0,2.34E-07,0,5.90E-05,0,0,0,0,0,0,1.32E-07,0,0
Bunyavirales; Tosoviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46E-07,7.14E-06,0,0,0,0,0,0
Coronaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77E-05,0,0,0,1.22E-05,0,0,0,0,0,0,0,0
Flaviviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.94E-06,0,0
Hantaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70E-06,0
Herpesviridae,0,0,4.73E-08,0,1.35E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nidovirales; Nanghoshaviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29E-07,0,0
Poxviridae,0,0,3.15E-07,0,0,2.53E-07,0,0,0,5.12E-06,0,3.23E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Totiviridae,0,0,0,0,0,0,0,0,0,8.51E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total.virome,1.01E-05,9.64E-06,8.50E-06,1.45E-05,2.48E-06,1.48E-05,1.34E-06,6.50E-06,1.14E-05,5.23E-05,2.65E-06,2.90E-06,2.01E-06,5.32E-05,3.18E-05,2.23E-05,6.19E-05,1.23E-05,0.00024224,1.53E-05,1.36E-06,1.21E-06,3.86E-05,2.65E-05,7.38E-06,4.70E-07